image,preprocess_ms,inference_ms,postprocess_ms,total_ms,gpu_mem_mb
img_0001.jpg,8.170,653.346,1.238,662.754,12
img_0002.jpg,4.862,5.767,0.031,10.660,12
img_0003.jpg,3.063,4.908,0.025,7.995,12
img_0004.jpg,2.953,4.767,0.025,7.745,12
img_0005.jpg,2.988,4.723,0.025,7.736,12
img_0006.jpg,2.855,4.505,0.025,7.385,12
img_0007.jpg,2.884,4.697,0.025,7.606,12
img_0008.jpg,2.854,4.484,0.025,7.362,12
img_0009.jpg,2.878,4.693,0.025,7.596,12
img_0010.jpg,2.816,4.479,0.024,7.319,12
img_0011.jpg,2.923,4.694,0.025,7.643,12
img_0012.jpg,2.840,4.522,0.024,7.386,12
img_0013.jpg,2.799,4.843,0.025,7.667,12
img_0014.jpg,2.784,4.539,0.025,7.348,12
img_0015.jpg,2.882,4.699,0.024,7.605,12
img_0016.jpg,2.848,4.794,0.040,7.681,12
img_0017.jpg,3.234,5.467,0.037,8.738,12
img_0018.jpg,2.823,4.482,0.025,7.331,12
img_0019.jpg,2.803,4.699,0.025,7.527,12
img_0020.jpg,2.824,4.472,0.025,7.321,12
img_0021.jpg,2.876,4.682,0.024,7.583,12
img_0022.jpg,2.897,4.479,0.025,7.400,12
img_0023.jpg,2.808,4.749,0.024,7.582,12
img_0024.jpg,2.846,4.536,0.024,7.407,12
img_0025.jpg,3.054,5.020,0.045,8.118,12
img_0026.jpg,2.902,5.004,0.026,7.932,12
img_0027.jpg,2.897,4.733,0.026,7.656,12
img_0028.jpg,2.773,4.501,0.025,7.299,12
img_0029.jpg,2.920,4.701,0.030,7.652,12
img_0030.jpg,3.718,4.496,0.025,8.239,12
img_0031.jpg,2.855,4.682,0.030,7.567,12
img_0032.jpg,2.839,4.480,0.025,7.344,12
img_0033.jpg,2.802,4.716,0.025,7.542,12
img_0034.jpg,2.788,4.505,0.025,7.318,12
img_0035.jpg,2.824,4.704,0.025,7.552,12
img_0036.jpg,2.825,4.750,0.031,7.606,12
img_0037.jpg,2.837,5.104,0.032,7.973,12
img_0038.jpg,2.861,5.046,0.035,7.942,12
img_0039.jpg,3.030,5.009,0.031,8.070,12
img_0040.jpg,2.847,4.813,0.036,7.696,12
img_0041.jpg,2.890,5.729,0.047,8.667,12
img_0042.jpg,3.449,5.026,0.035,8.510,12
img_0043.jpg,2.924,4.753,0.025,7.702,12
img_0044.jpg,2.797,4.466,0.025,7.288,12
img_0045.jpg,2.831,4.711,0.025,7.566,12
img_0046.jpg,2.796,4.482,0.025,7.303,12
img_0047.jpg,2.816,4.712,0.025,7.553,12
img_0048.jpg,2.800,4.497,0.025,7.321,12
img_0049.jpg,2.809,4.715,0.024,7.548,12
img_0050.jpg,2.770,4.459,0.024,7.253,12

avg,3.043,17.717,0.052,20.812,
