image,preprocess_ms,inference_ms,postprocess_ms,total_ms,gpu_mem_mb
img_0001.jpg,3.878,539.231,0.172,543.282,12
img_0002.jpg,3.692,5.910,0.037,9.638,12
img_0003.jpg,2.777,5.011,0.038,7.825,12
img_0004.jpg,2.738,5.150,0.038,7.925,12
img_0005.jpg,2.709,4.933,0.033,7.675,12
img_0006.jpg,2.709,4.623,0.034,7.365,12
img_0007.jpg,2.735,5.598,0.050,8.382,12
img_0008.jpg,2.953,5.421,0.045,8.420,12
img_0009.jpg,2.902,5.116,0.037,8.056,12
img_0010.jpg,2.759,4.883,0.036,7.678,12
img_0011.jpg,2.739,5.420,0.034,8.193,12
img_0012.jpg,2.803,4.712,0.032,7.547,12
img_0013.jpg,2.865,5.023,0.040,7.929,12
img_0014.jpg,2.743,4.972,0.036,7.751,12
img_0015.jpg,2.831,5.227,0.035,8.092,12
img_0016.jpg,2.777,4.708,0.033,7.518,12
img_0017.jpg,2.844,5.219,0.045,8.108,12
img_0018.jpg,2.887,5.111,0.037,8.035,12
img_0019.jpg,3.062,6.149,0.039,9.250,12
img_0020.jpg,2.829,5.088,0.040,7.957,12
img_0021.jpg,2.886,5.165,0.038,8.088,12
img_0022.jpg,2.952,4.951,0.040,7.943,12
img_0023.jpg,2.781,5.141,0.035,7.957,12
img_0024.jpg,2.762,7.144,0.054,9.961,12
img_0025.jpg,3.755,7.293,0.062,11.110,12
img_0026.jpg,3.868,6.660,0.053,10.582,12
img_0027.jpg,3.654,7.872,0.057,11.584,12
img_0028.jpg,3.787,7.465,0.062,11.314,12
img_0029.jpg,3.769,6.794,0.048,10.611,12
img_0030.jpg,3.672,6.340,0.046,10.058,12
img_0031.jpg,3.634,6.019,0.045,9.699,12
img_0032.jpg,3.402,5.840,0.043,9.285,12
img_0033.jpg,3.536,5.979,0.040,9.556,12
img_0034.jpg,3.644,6.143,0.048,9.835,12
img_0035.jpg,2.906,5.519,0.045,8.470,12
img_0036.jpg,2.895,5.623,0.048,8.565,12
img_0037.jpg,2.924,5.527,0.052,8.503,12
img_0038.jpg,2.854,5.639,0.047,8.540,12
img_0039.jpg,3.095,5.726,0.046,8.867,12
